,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Adre,13.4667,22.2,86.13,11,40,5.46,TD,scattered clouds
232,Weyburn,49.6668,-103.8511,57.42,38,75,18.41,CA,broken clouds
233,Kodinar,20.7903,70.7031,81.99,82,0,12.19,IN,clear sky
234,Una,20.8167,71.0333,82.56,74,0,13.78,IN,clear sky
235,Vila Franca Do Campo,37.7167,-25.4333,63.01,80,16,4.09,PT,few clouds
236,Pelym,61.0108,61.9978,32.4,73,100,6.24,RU,overcast clouds
237,Mago,53.2514,140.1822,29.5,96,100,1.88,RU,overcast clouds
238,Quatre Cocos,-20.2078,57.7625,77.11,80,41,11.1,MU,scattered clouds
239,Dandong,40.1292,124.3947,42.89,35,7,1.16,CN,clear sky
240,Port Elizabeth,-33.918,25.5701,61.09,78,0,16.11,ZA,clear sky
241,Tandil,-37.3217,-59.1332,53.69,48,2,7.78,AR,clear sky
242,Codrington,-38.2667,141.9667,57.61,83,100,13.51,AU,overcast clouds
243,Northam,51.0333,-4.2167,49.66,74,100,2.95,GB,overcast clouds
244,Axim,4.8699,-2.2405,80.65,84,100,8.57,GH,overcast clouds
245,Ozernovskiy,51.5,156.5167,34.92,69,40,4.52,RU,scattered clouds
246,Ust-Shonosha,61.1531,41.343,27.03,83,13,4.59,RU,few clouds
247,Lata,40.1629,-8.3327,56.95,76,1,3.24,PT,clear sky
248,Kirakira,-10.4544,161.9205,80.24,80,100,2.04,SB,overcast clouds
249,Olafsvik,64.8945,-23.7142,44.74,86,97,16.26,IS,overcast clouds
250,Kawambwa,-9.7915,29.0791,61.75,87,54,3.91,ZM,broken clouds
251,Marsa Matruh,31.3525,27.2453,66.06,76,55,8.9,EG,broken clouds
252,Lompoc,34.6391,-120.4579,81.79,62,0,21.99,US,clear sky
253,Los Alamos,35.8881,-106.307,70.43,13,100,8.01,US,haze
254,Craig,40.5153,-107.5464,52.39,30,0,5.32,US,clear sky
255,Lagoa,39.05,-27.9833,60.98,87,0,10.51,PT,clear sky
256,Nouadhibou,20.931,-17.0347,65.32,85,98,25.39,MR,overcast clouds
257,Lima,-12.0432,-77.0282,68.25,68,0,10.36,PE,clear sky
258,Hithadhoo,-0.6,73.0833,85.32,68,100,14.65,MV,overcast clouds
259,Bubaque,11.2833,-15.8333,77.31,72,64,12.84,GW,broken clouds
260,Paka,4.6374,103.4368,77.74,91,96,4.45,MY,overcast clouds
261,Touros,-5.1989,-35.4608,80.98,71,15,15.46,BR,few clouds
262,Brawley,32.9787,-115.5303,96.39,6,7,2.44,US,clear sky
263,Sitka,57.0531,-135.33,52.43,48,87,1.68,US,overcast clouds
264,Cidreira,-30.1811,-50.2056,65.95,70,100,9.84,BR,overcast clouds
265,Ler,8.3018,30.1418,82.13,56,84,7.65,SS,broken clouds
266,Gasa,31.5,34.4667,63.88,88,0,12.5,PS,clear sky
267,Paamiut,61.994,-49.6678,33.01,93,77,14.52,GL,broken clouds
268,Xai-Xai,-25.0519,33.6442,73.09,78,99,19.3,MZ,overcast clouds
269,Berkakit,56.5807,124.7681,9.09,91,15,3.96,RU,few clouds
270,Barinitas,8.7622,-70.4111,83.68,95,100,2.37,VE,overcast clouds
271,Tautira,-17.7333,-149.15,79.92,75,58,14.34,PF,light rain
272,Tsagan Aman,47.5639,46.7218,55.47,35,44,8.21,RU,light rain
273,Martinsville,36.6915,-79.8725,61.18,82,100,4.61,US,overcast clouds
274,Meulaboh,4.1363,96.1285,78.53,87,100,0.78,ID,overcast clouds
275,Palmer,42.1584,-72.3287,62.2,31,100,3.0,US,overcast clouds
276,Kaitangata,-46.2817,169.8464,50.32,84,100,5.82,NZ,overcast clouds
277,Karatuzskoye,53.6072,92.8667,51.28,65,49,3.53,RU,scattered clouds
278,Calvinia,-31.4707,19.776,56.41,42,29,3.98,ZA,scattered clouds
279,Tall Kayf,37.0833,41.0667,66.54,81,100,5.48,TR,moderate rain
280,Viedma,-40.8135,-62.9967,60.84,30,81,12.57,AR,broken clouds
281,San Juan,-31.5375,-68.5364,68.74,25,0,11.79,AR,clear sky
282,Adrar,20.5022,-10.0711,83.26,10,0,7.67,MR,clear sky
283,Aswan,24.0934,32.907,88.99,9,25,12.44,EG,scattered clouds
284,Saint-Maximin-La-Sainte-Baume,43.4521,5.8622,66.47,65,1,3.47,FR,clear sky
285,Kostomuksha,64.571,30.5767,23.83,94,87,2.93,RU,overcast clouds
286,Aksu,41.1231,80.2644,62.15,19,100,5.37,CN,overcast clouds
287,Faya,18.3851,42.4509,68.04,36,17,11.9,SA,few clouds
288,Barranca,-10.75,-77.7667,69.73,75,59,9.04,PE,broken clouds
289,Chiredzi,-21.05,31.6667,68.43,49,1,1.99,ZW,clear sky
290,Hamilton,39.1834,-84.5333,72.72,73,100,5.01,US,overcast clouds
291,Surab,28.4914,66.2585,72.05,16,5,4.52,PK,clear sky
292,Kluang,2.0251,103.3328,75.18,95,28,1.25,MY,scattered clouds
293,Lodja,-3.4833,23.4333,73.85,85,95,1.95,CD,overcast clouds
294,Wasilla,61.5814,-149.4394,50.36,53,100,5.99,US,overcast clouds
295,Emba,48.8264,58.1442,56.88,66,100,17.11,KZ,overcast clouds
296,Nizwa,22.9333,57.5333,85.1,35,40,3.47,OM,scattered clouds
297,Ginda,30.6945,78.4932,61.72,35,10,8.39,IN,clear sky
298,Santa Rosalia,27.3167,-112.2833,74.82,32,36,7.45,MX,scattered clouds
299,Vila,42.0304,-8.1588,54.7,52,5,2.42,PT,clear sky
300,Itoigawa,37.0333,137.85,51.31,86,100,4.74,JP,overcast clouds
301,Waw,7.7029,27.9953,83.21,50,58,7.18,SS,broken clouds
302,Acarau,-2.8856,-40.12,80.65,85,16,8.61,BR,few clouds
303,Boden,65.8252,21.6886,35.6,96,85,1.28,SE,overcast clouds
304,Lampitak,6.4322,125.0525,66.79,95,63,0.63,PH,broken clouds
305,Varna,43.2167,27.9167,52.88,91,8,3.44,BG,light rain
306,Presidencia Roque Saenz Pena,-26.7852,-60.4388,72.07,59,100,6.35,AR,overcast clouds
307,Moberly,39.4184,-92.4382,67.98,57,75,24.16,US,broken clouds
308,Amahai,-3.3333,128.9167,78.64,85,13,3.91,ID,few clouds
309,Santa Luzia,-19.7697,-43.8514,77.05,45,49,7.72,BR,scattered clouds
310,Uarini,-2.99,-65.1083,77.31,84,99,2.15,BR,overcast clouds
311,Mecca,21.4267,39.8261,87.94,48,0,2.82,SA,clear sky
312,Puerto Escondido,15.85,-97.0667,88.14,54,3,9.22,MX,clear sky
313,Ladario,-19.0047,-57.6017,93.69,30,39,2.53,BR,scattered clouds
314,Finschhafen,-6.6024,147.8681,78.37,83,76,3.69,PG,broken clouds
315,Caravelas,-17.7125,-39.2481,76.86,74,2,4.72,BR,clear sky
316,Dharchula,29.85,80.5333,66.31,45,41,7.43,IN,scattered clouds
317,Bonthe,7.5264,-12.505,81.34,77,49,10.13,SL,scattered clouds
318,Orange Cove,36.6244,-119.3137,80.67,24,0,5.59,US,clear sky
319,Arman,59.7,150.1667,31.95,73,6,6.22,RU,clear sky
320,Hami,42.8,93.45,60.19,16,0,5.1,CN,clear sky
321,Tuatapere,-46.1333,167.6833,58.39,75,100,12.1,NZ,overcast clouds
322,Westport,41.1415,-73.3579,66.27,28,39,10.0,US,scattered clouds
323,Miyako,39.6367,141.9525,45.03,71,100,9.73,JP,overcast clouds
324,Tezu,27.9167,96.1667,71.85,69,100,2.35,IN,overcast clouds
325,Chuy,-33.6971,-53.4616,58.48,65,100,4.79,UY,moderate rain
326,Sao Filipe,14.8961,-24.4956,72.34,75,83,8.41,CV,broken clouds
327,Pangnirtung,66.1451,-65.7125,25.65,91,100,4.9,CA,light snow
328,Buka,40.8108,69.1986,74.95,41,7,8.03,UZ,clear sky
329,Naze,28.3667,129.4833,63.3,75,100,12.93,JP,overcast clouds
330,Galesong,-5.3166,119.3661,75.22,82,75,3.85,ID,broken clouds
331,Abu Samrah,35.3029,37.1841,66.04,68,7,9.4,SY,clear sky
332,Manyana,-23.4,21.7167,65.95,39,2,10.94,BW,clear sky
333,Champerico,14.3,-91.9167,86.59,62,71,9.35,GT,broken clouds
334,Jiangkou,25.4872,119.1986,62.94,85,100,13.62,CN,overcast clouds
335,Niksic,42.7731,18.9445,50.67,82,2,3.76,ME,clear sky
336,Sangmelima,2.9333,11.9833,72.07,77,13,1.01,CM,few clouds
337,Sungaipenuh,-2.0833,101.3833,65.59,97,100,0.31,ID,overcast clouds
338,Yaan,7.3833,8.5667,85.71,55,100,8.81,NG,overcast clouds
339,Bara,10.3744,10.7288,84.88,47,91,9.51,NG,moderate rain
340,Pryshyb,47.2603,35.3228,51.64,55,99,9.64,UA,overcast clouds
341,Banff,51.1762,-115.5698,45.72,56,99,1.74,CA,overcast clouds
342,Shelopugino,51.6514,117.5599,34.84,41,100,4.0,RU,overcast clouds
343,Tiksi,71.6872,128.8694,34.25,89,100,17.16,RU,overcast clouds
344,Alekseyevsk,57.8406,108.3492,42.01,99,100,4.65,RU,overcast clouds
345,Novyy Urengoy,66.0833,76.6333,20.75,95,100,4.27,RU,overcast clouds
346,Watertown,42.3709,-71.1828,61.95,42,86,7.0,US,overcast clouds
347,Chifeng,42.2683,118.9636,44.24,22,98,4.92,CN,overcast clouds
348,Shache,38.4167,77.2406,66.7,17,100,4.9,CN,overcast clouds
349,Kuju,23.7167,85.5,82.04,55,70,8.84,IN,broken clouds
350,Raipur,21.2333,81.6333,91.4,12,5,8.37,IN,clear sky
351,Leh,34.1667,77.5833,43.25,65,93,2.73,IN,overcast clouds
352,Pimenta Bueno,-11.6725,-61.1936,87.19,60,64,3.51,BR,broken clouds
353,Atwater,37.3477,-120.6091,80.71,34,0,11.5,US,clear sky
354,Jieshou,33.2634,115.3611,49.33,47,98,6.64,CN,overcast clouds
355,Monrovia,6.3005,-10.7969,80.37,81,54,9.78,LR,broken clouds
356,Visnes,59.3556,5.2242,46.22,87,49,18.41,NO,scattered clouds
357,Talakan,50.3167,130.3667,38.41,75,100,2.73,RU,overcast clouds
358,Cascais,38.6979,-9.4215,70.95,50,0,12.66,PT,clear sky
359,Cabedelo,-6.9811,-34.8339,83.07,75,100,15.37,BR,overcast clouds
360,Irbil,36.1926,44.0106,71.35,43,27,8.84,IQ,scattered clouds
361,Dickinson,29.4608,-95.0513,89.08,75,24,7.0,US,few clouds
362,Puerto Madero,14.7208,-92.4215,84.4,84,75,5.75,MX,broken clouds
363,Vilyuysk,63.7553,121.6247,35.4,98,100,11.01,RU,light rain
364,Te Anau,-45.4167,167.7167,55.18,86,100,8.95,NZ,overcast clouds
365,Luau,-10.7073,22.2247,69.46,60,86,5.97,AO,overcast clouds
366,Grand Gaube,-20.0064,57.6608,74.37,80,3,3.0,MU,clear sky
367,Muncar,-8.4333,114.3333,76.78,89,56,2.06,ID,broken clouds
368,Magrath,49.4167,-112.8686,56.82,27,98,15.75,CA,overcast clouds
369,Havelock,34.8791,-76.9013,75.97,66,94,3.0,US,overcast clouds
370,Lavumisa,-27.31,31.892,61.5,81,0,6.4,SZ,clear sky
371,Jinchang,38.4953,102.1739,44.37,42,75,5.26,CN,broken clouds
372,Banjar,-8.19,114.9675,79.81,86,99,4.9,ID,overcast clouds
373,Broken Hill,-31.95,141.4333,53.83,67,0,1.52,AU,clear sky
374,Saint Andrews,34.0454,-81.1293,86.32,36,17,8.55,US,few clouds
375,Vila Do Maio,15.1333,-23.2167,72.25,79,100,13.6,CV,overcast clouds
376,Anadyr,64.75,177.4833,28.0,68,96,17.0,RU,overcast clouds
377,Calbuco,-41.768,-73.1273,52.0,73,98,4.29,CL,overcast clouds
378,Pereira Barreto,-20.6383,-51.1092,86.49,33,86,1.68,BR,overcast clouds
379,Ahipara,-35.1667,173.1667,58.68,87,9,6.42,NZ,clear sky
380,North Bend,43.4065,-124.2243,55.92,84,100,16.11,US,overcast clouds
381,Emerald,-23.5333,148.1667,62.35,84,78,3.85,AU,broken clouds
382,Zhenlai,45.8495,123.2973,36.32,53,69,8.46,CN,broken clouds
383,Tura,25.5198,90.2201,67.89,92,61,3.36,IN,broken clouds
384,Rodrigues Alves,-7.738,-72.6509,87.35,56,66,2.19,BR,broken clouds
385,Vestmannaeyjar,63.4427,-20.2734,46.51,85,25,18.23,IS,scattered clouds
386,Severo-Kurilsk,50.6789,156.125,34.41,82,100,7.09,RU,overcast clouds
387,Nador,35.174,-2.9287,62.85,82,0,2.3,MA,clear sky
388,Bonavista,48.6499,-53.1147,36.32,97,100,9.57,CA,light rain
389,Tabou,4.423,-7.3528,81.09,79,100,7.38,CI,overcast clouds
390,Candolim,15.5181,73.7626,82.54,77,0,10.18,IN,clear sky
391,Tenosique,17.4833,-91.4333,93.96,48,51,5.86,MX,broken clouds
392,Dubovskoye,47.4092,42.7575,54.43,56,100,3.87,RU,overcast clouds
393,Salinopolis,-0.6136,-47.3561,79.56,85,50,8.19,BR,scattered clouds
394,La Ronge,55.1001,-105.2842,40.86,81,100,5.75,CA,overcast clouds
395,Birao,10.2849,22.7882,88.45,30,92,2.71,CF,overcast clouds
396,Grindavik,63.8424,-22.4338,45.07,81,75,19.57,IS,broken clouds
397,Iqaluit,63.7506,-68.5145,25.7,73,100,8.01,CA,overcast clouds
398,Saint-Michel-Des-Saints,46.6834,-73.9159,48.94,59,100,7.78,CA,overcast clouds
399,Maxixe,-23.8597,35.3472,68.23,86,3,5.82,MZ,clear sky
400,Ulaanbaatar,47.9077,106.8832,42.37,50,98,3.69,MN,overcast clouds
401,Mandiana,10.6333,-8.6833,86.45,42,65,8.97,GN,light rain
402,Thornhill,55.2333,-3.7667,47.48,99,100,8.08,GB,moderate rain
403,Isangel,-19.55,169.2667,78.58,90,100,9.82,VU,overcast clouds
404,Narwana,29.6167,76.1167,92.71,11,14,4.72,IN,few clouds
405,Miranda,3.2499,-76.2281,84.33,77,99,0.74,CO,overcast clouds
406,Yulara,-25.2406,130.9889,60.26,51,100,12.8,AU,overcast clouds
407,Lorengau,-2.0226,147.2712,80.58,79,100,3.96,PG,overcast clouds
408,Puerto Maldonado,-12.6,-69.1833,85.6,58,100,1.14,PE,overcast clouds
409,Koygorodok,60.445,50.9968,30.09,96,100,5.95,RU,overcast clouds
410,Bilibino,68.0546,166.4372,7.38,93,67,2.51,RU,broken clouds
411,Ulladulla,-35.35,150.4667,50.67,74,2,3.62,AU,clear sky
412,Biga,40.2281,27.2422,58.05,90,100,12.26,TR,overcast clouds
413,Dekar,-21.5333,21.9333,69.26,38,63,4.43,BW,broken clouds
414,Abonnema,4.7084,6.7931,79.3,82,100,4.74,NG,overcast clouds
415,Vigrestad,58.5667,5.7,46.58,78,100,15.73,NO,overcast clouds
416,Opuwo,-18.0607,13.84,73.26,38,49,5.68,NA,scattered clouds
417,Tougue,11.4667,-11.6,73.63,72,95,4.45,GN,light rain
418,Jacareacanga,-6.2222,-57.7528,85.32,69,98,2.08,BR,overcast clouds
419,Constitucion,-35.3333,-72.4167,60.21,52,2,15.05,CL,clear sky
420,Kamiiso,41.8167,140.65,44.35,53,100,5.61,JP,overcast clouds
421,Rio Grande,-32.035,-52.0986,62.94,66,4,9.1,BR,clear sky
422,Novyy Nekouz,57.9029,38.07,30.65,67,10,5.79,RU,clear sky
423,Pontianak,-0.0333,109.3333,73.38,100,75,3.44,ID,broken clouds
424,Tubuala,9.5167,-79.0333,81.99,79,100,4.85,PA,overcast clouds
425,Maumere,-8.6199,122.2111,79.79,82,92,3.29,ID,overcast clouds
426,Mobaye,4.319,21.1786,69.89,95,100,2.77,CF,light rain
427,Port Lincoln,-34.7333,135.8667,58.5,84,22,8.32,AU,few clouds
428,Plastun,44.7561,136.2939,38.32,92,100,1.81,RU,overcast clouds
429,Chauk,20.8833,94.8167,87.01,52,36,4.74,MM,scattered clouds
430,Dasoguz,41.8363,59.9666,71.4,43,100,10.6,TM,overcast clouds
431,Naples,40.8333,14.25,63.75,48,0,3.0,IT,clear sky
432,Henties Bay,-22.116,14.2845,59.36,81,0,6.67,NA,clear sky
433,Verkhnyaya Inta,65.9811,60.3094,22.14,78,21,9.89,RU,few clouds
434,Homer,59.6425,-151.5483,42.69,78,100,12.66,US,light rain
435,Geraldton,-28.7667,114.6,55.81,71,0,11.5,AU,clear sky
436,Bocas Del Toro,9.3333,-82.25,81.66,79,100,10.51,PA,overcast clouds
437,Mazamari,-11.3258,-74.5308,77.04,91,35,2.01,PE,scattered clouds
438,Ewa Beach,21.3156,-158.0072,77.09,68,100,13.0,US,overcast clouds
439,Saint Marys,30.7305,-81.5465,82.06,61,75,12.66,US,broken clouds
440,Pomoryany,49.6409,24.9307,45.55,71,37,5.06,UA,scattered clouds
441,Pattoki,31.0167,73.85,88.54,17,0,7.47,PK,clear sky
442,Avera,33.194,-82.5271,83.55,40,7,6.91,US,clear sky
443,Bodden Town,19.2833,-81.25,82.98,76,16,7.0,KY,few clouds
444,Zhanaozen,43.3,52.8,60.48,71,98,1.59,KZ,overcast clouds
445,Roald,62.5833,6.1333,47.75,76,0,4.61,NO,clear sky
446,Sechura,-5.5569,-80.8222,80.06,56,85,11.99,PE,overcast clouds
447,Chadiza,-14.0678,32.4392,59.76,79,1,2.68,ZM,clear sky
448,Chengde,40.9725,117.9361,43.39,24,10,2.86,CN,clear sky
449,Mangrol,21.1167,70.1167,82.58,84,0,12.01,IN,clear sky
450,Humaita,-7.5061,-63.0208,80.29,80,97,2.98,BR,overcast clouds
451,Naryan-Mar,67.6713,53.087,19.4,94,100,10.42,RU,overcast clouds
452,Mazyr,52.0495,29.2456,41.95,60,18,4.41,BY,few clouds
453,Xichang,27.8964,102.2634,47.35,90,100,7.56,CN,overcast clouds
454,Leningradskiy,69.3833,178.4167,9.64,91,71,4.41,RU,broken clouds
455,Troitskoye,52.9821,84.6757,56.44,50,42,6.26,RU,scattered clouds
456,Were Ilu,10.6,39.4333,53.56,83,96,7.34,ET,overcast clouds
457,Samarai,-10.6167,150.6667,79.77,79,61,5.84,PG,broken clouds
458,Norilsk,69.3535,88.2027,15.6,93,99,8.1,RU,overcast clouds
459,Moron,-34.6534,-58.6198,59.97,49,97,1.63,AR,overcast clouds
460,Asau,46.4333,26.4,47.32,93,68,2.86,RO,broken clouds
461,Merauke,-8.4667,140.3333,79.56,86,100,11.72,ID,moderate rain
